City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
292,Zorgo,12.2489,-0.6158,90.3,few clouds,27,15,3.36,BF
293,Tuktoyaktuk,69.4541,-133.0374,33.3,scattered clouds,95,32,7.02,CA
294,Aksay,47.26,39.87,55.26,overcast clouds,60,95,14.0,RU
295,Mets Masrik,40.2183,45.7681,43.41,broken clouds,83,62,6.13,AM
296,Areosa,41.7178,-8.8571,55.8,clear sky,94,1,3.58,PT
297,Vao,-22.6667,167.4833,75.31,broken clouds,83,65,22.91,NC
298,Puerto Maldonado,-12.6,-69.1833,78.76,overcast clouds,75,100,2.51,PE
299,Vila Franca Do Campo,37.7167,-25.4333,65.19,few clouds,86,21,3.06,PT
300,Salinopolis,-0.6136,-47.3561,77.7,broken clouds,89,72,8.03,BR
301,Ugoofaaru,5.6667,73.0,84.6,overcast clouds,75,87,12.55,MV
302,Kavaratti,10.5669,72.642,84.65,scattered clouds,73,28,11.56,IN
303,Kaitangata,-46.2817,169.8464,54.9,moderate rain,75,99,3.13,NZ
304,Tanete,-3.9443,119.7848,73.89,overcast clouds,98,89,3.13,ID
305,Hambantota,6.1241,81.1185,81.05,overcast clouds,85,100,14.58,LK
306,Port Macquarie,-31.4333,152.9167,61.9,clear sky,80,5,9.15,AU
307,Uruzgan,32.8333,66.0,69.89,broken clouds,19,63,3.04,AF
308,Araouane,18.9048,-3.5265,83.82,clear sky,9,1,9.51,ML
309,Pevek,69.7008,170.3133,6.71,overcast clouds,94,96,6.29,RU
310,Kaduna,10.5222,7.4383,79.74,overcast clouds,58,98,6.98,NG
311,Buraydah,26.326,43.975,80.26,clear sky,36,2,12.19,SA
312,Farafangana,-22.8167,47.8333,71.87,overcast clouds,86,90,5.21,MG
313,Pandaria,22.2333,81.4167,85.24,few clouds,16,14,4.92,IN
314,Longyearbyen,78.2186,15.6401,10.24,clear sky,61,0,3.44,SJ
315,Haines Junction,60.7522,-137.5108,39.88,overcast clouds,79,91,4.0,CA
316,Nieuwpoort,51.1244,2.7735,45.01,clear sky,84,0,2.3,BE
317,Ingham,42.6,-84.3833,58.86,broken clouds,42,75,17.27,US
318,Tarbert,55.8628,-5.4162,50.5,overcast clouds,96,100,9.33,GB
319,Fukuma,33.7667,130.4667,58.28,overcast clouds,67,96,3.15,JP
320,Valleyview,55.0667,-117.2859,44.11,overcast clouds,78,97,5.68,CA
321,Magadan,59.5667,150.8,38.53,clear sky,69,10,3.85,RU
322,Takoradi,4.8845,-1.7554,80.76,broken clouds,83,56,7.23,GH
323,Sisimiut,66.9395,-53.6735,23.81,clear sky,65,7,3.18,GL
324,Araguacu,-12.9306,-49.8264,76.17,clear sky,52,4,3.69,BR
325,Koundara,12.4833,-13.3,92.8,broken clouds,26,60,5.37,GN
326,Champerico,14.3,-91.9167,86.67,broken clouds,62,63,8.3,GT
327,Potiskum,11.7091,11.0694,86.22,overcast clouds,43,90,6.04,NG
328,Ravar,31.2656,56.8055,68.18,clear sky,53,4,1.92,IR
329,Balkanabat,39.5108,54.3671,66.43,overcast clouds,73,100,4.03,TM
330,Sinazongwe,-17.2614,27.4618,69.24,clear sky,53,0,3.47,ZM
331,Maniitsoq,65.4167,-52.9,24.96,clear sky,71,0,12.28,GL
332,Tambo,-14.8,-73.9167,43.32,broken clouds,72,84,7.72,PE
333,Zyryanskoye,56.8306,86.6258,43.11,light rain,88,100,10.2,RU
